"","number_in_list","fold_enrichment","fdr","expected","number_in_reference","pValue","plus_minus","term.id","term.label"
"53",81,2.00301180946342,1.71172242645592e-07,40.4391025641026,2442,5.95166887109911e-10,"+","GO:0051128","regulation of cellular component organization"
"54",26,4.26647966339411,1.6833132724675e-07,6.0940170940171,368,5.9633219650492e-10,"+","GO:0040011","locomotion"
"55",28,3.92305965122371,2.37810582970411e-07,7.13728632478633,431,8.58071381183011e-10,"+","GO:0048514","blood vessel morphogenesis"
"56",24,4.51492312330419,2.45709379298449e-07,5.31570512820513,321,9.02691415122558e-10,"+","GO:0032496","response to lipopolysaccharide"
"57",62,2.23389021479714,4.32452546192772e-07,27.7542735042735,1676,1.61712229436384e-09,"+","GO:0042127","regulation of cell population proliferation"
"58",70,2.1051278755944,4.37573836107062e-07,33.2521367521368,2008,1.66497949840646e-09,"+","GO:0065009","regulation of molecular function"
"59",45,2.65892304778739,5.64131209199367e-07,16.9241452991453,1022,2.18354269781294e-09,"+","GO:0098542","defense response to other organism"
"60",112,1.70619445981576,6.28687168103139e-07,65.6431623931624,3964,2.47465919347821e-09,"+","GO:0007275","multicellular organism development"
"61",40,2.83507496592458,7.79622293178461e-07,14.1089743589744,852,3.11992126772198e-09,"+","GO:0033993","response to lipid"
"62",78,1.97161722410511,8.37929852109889e-07,39.5614316239316,2389,3.408230061721e-09,"+","GO:0070887","cellular response to chemical stimulus"
"63",30,3.4375956417947,1.13124727141112e-06,8.72702991452991,527,4.67549551262224e-09,"+","GO:0006897","endocytosis"
"64",41,2.73576902512921,1.29331557095812e-06,14.9866452991453,905,5.43017755962211e-09,"+","GO:0035295","tube development"
"65",106,1.69339477726574,2.64100097461703e-06,62.5961538461538,3780,1.12618948599427e-08,"+","GO:0042221","response to chemical"
"66",16,6.00120216389501,2.67490055661347e-06,2.66613247863248,161,1.15819351004716e-08,"+","GO:0031099","regeneration"
"67",101,1.71999345013918,2.66634984405166e-06,58.7211538461538,3546,1.17198346487871e-08,"+","GO:0048731","system development"
"68",44,2.54261460101868,2.86434723364664e-06,17.3050213675214,1045,1.27780365996176e-08,"+","GO:0006915","apoptotic process"
"69",46,2.50027583403502,3.2706178894647e-06,18.3979700854701,1111,1.48050012709482e-08,"+","GO:0060429","epithelium development"
"70",21,4.37285873192436,3.97293468805692e-06,4.80235042735043,290,1.82447961794912e-08,"+","GO:0007162","negative regulation of cell adhesion"
"71",40,2.63699112551064,5.0188834555984e-06,15.1688034188034,916,2.33773355210579e-08,"+","GO:0140546","defense response to symbiont"
"72",22,4.12582648767782,5.02775323514907e-06,5.33226495726496,322,2.37484899908635e-08,"+","GO:0042060","wound healing"
"73",45,2.48392994043758,5.06649379803271e-06,18.116452991453,1094,2.42638619206448e-08,"+","GO:0012501","programmed cell death"
"74",45,2.4748810153358,5.3068568370806e-06,18.1826923076923,1098,2.57631310072797e-08,"+","GO:0008219","cell death"
"75",35,2.84079084287201,6.2868986812386e-06,12.3205128205128,744,3.09333727673617e-08,"+","GO:0051336","regulation of hydrolase activity"
"76",151,1.46834969611968,6.86516847025758e-06,102.836538461538,6210,3.4229010282725e-08,"+","GO:0048518","positive regulation of biological process"
"77",15,5.92030360531309,7.92888260013986e-06,2.53365384615385,153,4.00527429122069e-08,"+","GO:0002687","positive regulation of leukocyte migration"
"78",29,3.17826825127334,9.28311049980745e-06,9.12446581196581,551,4.75026319612268e-08,"+","GO:0001944","vasculature development"
"79",16,5.39772932059831,1.00811621339705e-05,2.9642094017094,179,5.22477077073852e-08,"+","GO:0045216","cell-cell junction organization"
"80",22,3.90740037950664,1.18941887744667e-05,5.63034188034188,340,6.24243982127754e-08,"+","GO:0001525","angiogenesis"
"81",19,4.44711177794449,1.2691914223861e-05,4.2724358974359,258,6.74437480897946e-08,"+","GO:0006959","humoral immune response"
"82",22,3.87322486598326,1.35425449061176e-05,5.68002136752137,343,7.28523704193166e-08,"+","GO:0050808","synapse organization"
"83",28,3.19026171637249,1.38794866898674e-05,8.7767094017094,530,7.55755031987793e-08,"+","GO:0001568","blood vessel development"
"84",37,2.64416873449131,1.39001392041537e-05,13.9930555555556,845,7.65998617823863e-08,"+","GO:0022603","regulation of anatomical structure morphogenesis"
"85",67,1.94609691383885,1.63579074613064e-05,34.4278846153846,2079,9.12170920560942e-08,"+","GO:0007166","cell surface receptor signaling pathway"
"86",15,5.55709479517119,1.65328658233587e-05,2.69925213675214,163,9.32773378474608e-08,"+","GO:0030307","positive regulation of cell growth"
"87",39,2.53781979977753,1.7075287473628e-05,15.3675213675214,928,9.74578501742203e-08,"+","GO:0072359","circulatory system development"
"88",15,5.45666537116207,2.05642694331667e-05,2.74893162393162,166,1.18720442834e-07,"+","GO:0045766","positive regulation of angiogenesis"
"89",8,13.0566695727986,2.26679733246433e-05,0.612713675213675,37,1.32352530728417e-07,"+","GO:0014002","astrocyte development"
"90",42,2.40403608011007,2.49539569359962e-05,17.4706196581197,1055,1.4733688409366e-07,"+","GO:1901701","cellular response to oxygen-containing compound"
"91",15,5.35980148883375,2.51756752068252e-05,2.79861111111111,169,1.50297608333077e-07,"+","GO:1903034","regulation of response to wounding"
"92",15,5.35980148883375,2.49020265632727e-05,2.79861111111111,169,1.50297608333077e-07,"+","GO:1904018","positive regulation of vasculature development"
"93",37,2.5652383245065,2.6793486239217e-05,14.4236111111111,871,1.63471378353814e-07,"+","GO:0045597","positive regulation of cell differentiation"
"94",8,12.7130730050934,2.67962093160587e-05,0.629273504273504,38,1.65245927685463e-07,"+","GO:0035633","maintenance of blood-brain barrier"
"95",128,1.51292785028318,2.77131001616854e-05,84.6041666666667,5109,1.72718265128919e-07,"+","GO:0023052","signaling"
"96",26,3.23058542413381,2.79292740314979e-05,8.04807692307692,486,1.75897809291071e-07,"+","GO:0045785","positive regulation of cell adhesion"
"97",49,2.19834156161626,3.03879366431891e-05,22.2895299145299,1346,1.93375966305146e-07,"+","GO:0022008","neurogenesis"
"98",19,4.14207522999884,3.193073544935e-05,4.58707264957265,277,2.05288465133917e-07,"+","GO:0042063","gliogenesis"
"99",34,2.66991065061454,3.29255966630175e-05,12.7345085470085,769,2.13844654571851e-07,"+","GO:0045087","innate immune response"
"100",130,1.4918895060139,4.90378436916746e-05,87.1378205128205,5262,3.21707299689527e-07,"+","GO:0007154","cell communication"
"101",18,4.21305326331583,5.06236024238452e-05,4.2724358974359,258,3.35431597770017e-07,"+","GO:0045927","positive regulation of growth"
"102",43,2.32258064516129,5.03069298973286e-05,18.5138888888889,1118,3.36633658041561e-07,"+","GO:0051130","positive regulation of cellular component organization"
"103",12,6.47004608294931,5.2043746563155e-05,1.85470085470085,112,3.5167000564226e-07,"+","GO:0097191","extrinsic apoptotic signaling pathway"
"104",30,2.81743841870265,5.50910995109975e-05,10.6479700854701,643,3.75875769149363e-07,"+","GO:0030855","epithelial cell differentiation"
"105",18,4.18064516129032,5.45664452148816e-05,4.30555555555556,260,3.75875926494953e-07,"+","GO:0044403","biological process involved in symbiotic interaction"
"106",69,1.85847889269374,5.63148657241019e-05,37.1271367521367,2242,3.91614233861759e-07,"+","GO:0048584","positive regulation of response to stimulus"
"107",82,1.72594699738023,7.1375013771062e-05,47.5101495726496,2869,5.01025157351154e-07,"+","GO:0048513","animal organ development"
"108",35,2.52816792714925,7.16577782836499e-05,13.8440170940171,836,5.0771108408018e-07,"+","GO:0060284","regulation of cell development"
"109",22,3.41520855792354,8.84920359864865e-05,6.4417735042735,389,6.32790915339961e-07,"+","GO:0050767","regulation of neurogenesis"
"110",42,2.27263267429761,9.66130605743861e-05,18.4807692307692,1116,6.97201119411039e-07,"+","GO:0051241","negative regulation of multicellular organismal process"
"111",16,4.45250483127694,0.000100205570014826,3.59348290598291,217,7.29700076864504e-07,"+","GO:0010810","regulation of cell-substrate adhesion"
"112",127,1.47257321242753,0.000113700096101893,86.2435897435897,5208,8.35426803346589e-07,"+","GO:0048519","negative regulation of biological process"
"113",63,1.87593052109181,0.000117023404349722,33.5833333333333,2028,8.67522449092609e-07,"+","GO:0032879","regulation of localization"
"114",67,1.83322858353918,0.000116487659321531,36.5475427350427,2207,8.71192886088996e-07,"+","GO:0007399","nervous system development"
"115",15,4.62146148782093,0.000134697520239372,3.2457264957265,196,1.01621825280639e-06,"+","GO:0051346","negative regulation of hydrolase activity"
"116",34,2.49170059505168,0.000135959945099864,13.6452991452991,824,1.0346620502253e-06,"+","GO:0034097","response to cytokine"
"117",9,8.49193548387097,0.000135721273249531,1.05982905982906,64,1.04174958802041e-06,"+","GO:0043954","cellular component maintenance"
"118",4,40.258064516129,0.000139481135236346,0.0993589743589744,6,1.07975949339952e-06,"+","GO:0071680","response to indole-3-methanol"
"119",31,2.61818181818182,0.000146228935902017,11.8402777777778,715,1.14158914730303e-06,"+","GO:0098657","import into cell"
"120",113,1.51605019673048,0.000154643937850565,74.5357905982906,4501,1.21742915056536e-06,"+","GO:0051179","localization"
"121",136,1.43904768902932,0.000154456292880638,94.5069444444444,5707,1.22608485459275e-06,"+","GO:0048522","positive regulation of cellular process"
"122",12,5.70586741173482,0.000171365844128136,2.10309829059829,127,1.37155631986043e-06,"+","GO:0010811","positive regulation of cell-substrate adhesion"
"123",37,2.35191850594228,0.000176163501176297,15.7318376068376,950,1.42151221181424e-06,"+","GO:0008284","positive regulation of cell population proliferation"
"124",31,2.58563535911602,0.000182231713059758,11.9893162393162,724,1.48243340677097e-06,"+","GO:0044092","negative regulation of molecular function"
"125",12,5.66129032258065,0.000181849066401346,2.11965811965812,128,1.49125062652813e-06,"+","GO:0021782","glial cell development"
"126",103,1.56199672720792,0.000182260987408521,65.9412393162393,3982,1.50658560739183e-06,"+","GO:0048583","regulation of response to stimulus"
"127",23,3.13522172868274,0.000183844452344667,7.33600427350427,443,1.53173558012023e-06,"+","GO:0043086","negative regulation of catalytic activity"
"128",16,4.1826560536238,0.000198593982287095,3.82532051282051,231,1.66765267550667e-06,"+","GO:0002685","regulation of leukocyte migration"
"129",14,4.74954693729612,0.000199346220483118,2.94764957264957,178,1.68704732941824e-06,"+","GO:0019058","viral life cycle"
"130",18,3.74816462736374,0.00021403542464159,4.80235042735043,290,1.82540216515166e-06,"+","GO:0045765","regulation of angiogenesis"
"131",17,3.93325917686318,0.000214184829585733,4.32211538461538,261,1.84072772260913e-06,"+","GO:0097305","response to alcohol"
"132",26,2.84431977559607,0.00022471655448149,9.14102564102564,552,1.94598079062892e-06,"+","GO:0032103","positive regulation of response to external stimulus"
"133",51,1.99983242563888,0.000228367782092773,25.5021367521368,1540,1.99258118600924e-06,"+","GO:0002682","regulation of immune system process"
"134",35,2.39089184060721,0.000238716584236539,14.6388888888889,884,2.09853849555181e-06,"+","GO:0043085","positive regulation of catalytic activity"
"135",11,6.03870967741936,0.000244326747805844,1.8215811965812,110,2.16388578060677e-06,"+","GO:0046718","symbiont entry into host cell"
"136",38,2.29470967741935,0.000268905024192562,16.5598290598291,1000,2.39920509677809e-06,"+","GO:0002684","positive regulation of immune system process"
"137",18,3.67218831734961,0.000271429190306543,4.9017094017094,296,2.43953283946706e-06,"+","GO:1901342","regulation of vasculature development"
"138",45,2.09839332419978,0.000273524653633677,21.4449786324786,1295,2.4763105820014e-06,"+","GO:0016192","vesicle-mediated transport"
"139",55,1.92538569424965,0.00027526017702584,28.5657051282051,1725,2.51008099498732e-06,"+","GO:0071310","cellular response to organic substance"
"140",15,4.29292157162513,0.000278399853011265,3.49412393162393,211,2.55697562301234e-06,"+","GO:1901888","regulation of cell junction assembly"
"141",11,5.93087557603687,0.000279599406357877,1.85470085470085,112,2.586335780126e-06,"+","GO:0044409","symbiont entry into host"
"142",34,2.40135823429542,0.000301220570022993,14.1586538461538,855,2.80609597475989e-06,"+","GO:0051050","positive regulation of transport"
"143",20,3.34554552765615,0.000300537733538724,5.97809829059829,361,2.81945128229597e-06,"+","GO:0050678","regulation of epithelial cell proliferation"
"144",322,1.09208902899693,0.000305972844452498,294.847756410256,17805,2.89051299620545e-06,"+","GO:0008150","biological_process"
"145",19,0.411680961144484,0.000303862686905386,46.1522435897436,2787,2.89051299621341e-06,"-",NA,"UNCLASSIFIED"
"146",117,1.47531641732734,0.000303062272288473,79.3050213675214,4789,2.90278106370905e-06,"+","GO:0007165","signal transduction"
"147",23,2.99332591768632,0.000345438949472463,7.68376068376068,464,3.33133409253114e-06,"+","GO:0051960","regulation of nervous system development"
"148",6,13.9354838709677,0.00035375899624802,0.430555555555556,26,3.43477868167073e-06,"+","GO:1905523","positive regulation of macrophage migration"
"149",15,4.15507546611424,0.00039104843891232,3.61004273504273,218,3.82249015272163e-06,"+","GO:0010001","glial cell differentiation"
"150",66,1.77926267281106,0.000393537518607639,37.0940170940171,2240,3.87263844329501e-06,"+","GO:0048468","cell development"
"151",284,1.14730636097612,0.000391977307300294,247.536324786325,14948,3.88300028881089e-06,"+","GO:0009987","cellular process"
"152",147,1.37669094693028,0.000397917233426867,106.777777777778,6448,3.96794722042143e-06,"+","GO:0051716","cellular response to stimulus"
"153",9,7.15110356536503,0.000451036260052217,1.25854700854701,76,4.52722874683391e-06,"+","GO:0002526","acute inflammatory response"
"154",5,18.8709677419355,0.000450015219425227,0.264957264957265,16,4.54650290569343e-06,"+","GO:0090136","epithelial cell-cell adhesion"
"155",13,4.67281105990783,0.000466486580907807,2.78205128205128,168,4.74351637083974e-06,"+","GO:0006898","receptor-mediated endocytosis"
"156",4,30.1935483870968,0.000479562440400153,0.132478632478632,8,4.90794074017083e-06,"+","GO:0038134","ERBB2-EGFR signaling pathway"
"157",17,3.65331190448858,0.000483420573658383,4.65331196581197,281,4.97913993730671e-06,"+","GO:0010721","negative regulation of cell development"
"158",28,2.57749803304485,0.000498208595978287,10.8632478632479,656,5.16413817257556e-06,"+","GO:0120035","regulation of plasma membrane bounded cell projection organization"
"159",14,4.31336405529954,0.000500973414825563,3.2457264957265,196,5.22566246521449e-06,"+","GO:0071222","cellular response to lipopolysaccharide"
"160",67,1.74694969079057,0.000517829465222466,38.3525641025641,2316,5.4354598461979e-06,"+","GO:0002376","immune system process"
"161",27,2.62552594670407,0.000517693834288801,10.2836538461538,621,5.46799890575982e-06,"+","GO:0040008","regulation of growth"
"162",33,2.34996956786366,0.000542959679803516,14.042735042735,848,5.77048272178505e-06,"+","GO:0014070","response to organic cyclic compound"
"163",18,3.42892032156304,0.000593045273700525,5.24946581196581,317,6.34168993066886e-06,"+","GO:0097190","apoptotic signaling pathway"
"164",17,3.56451612903226,0.000641159843547488,4.76923076923077,288,6.89826243795762e-06,"+","GO:0030100","regulation of endocytosis"
"165",15,3.95548668826595,0.000642726364662488,3.79220085470085,229,6.95728204220367e-06,"+","GO:0010632","regulation of epithelial cell migration"
"166",11,5.35691987513007,0.00064161558564623,2.0534188034188,124,6.98735073261656e-06,"+","GO:0071675","regulation of mononuclear cell migration"
"167",35,2.29484081117999,0.000642706584481476,15.2516025641026,921,7.04139602495614e-06,"+","GO:0043069","negative regulation of programmed cell death"
"168",42,2.08060546719945,0.000647335570799116,20.1864316239316,1219,7.13457822569386e-06,"+","GO:0044093","positive regulation of molecular function"
"169",12,4.83096774193548,0.000706453840718478,2.48397435897436,150,7.8324935433591e-06,"+","GO:0019730","antimicrobial humoral response"
"170",28,2.51612903225806,0.000725306526868744,11.1282051282051,672,8.08909726219815e-06,"+","GO:0031344","regulation of cell projection organization"
"171",15,3.88758133739443,0.000763913295913558,3.85844017094017,233,8.56978111928219e-06,"+","GO:0071216","cellular response to biotic stimulus"
"172",24,2.75007651343576,0.000759746261860739,8.72702991452991,527,8.57287653611803e-06,"+","GO:0043549","regulation of kinase activity"
"173",5,16.7741935483871,0.000764633719017609,0.298076923076923,18,8.67818889916987e-06,"+","GO:0043117","positive regulation of vascular permeability"
"174",21,2.99794097460535,0.000764685566089847,7.00480769230769,423,8.72894367904175e-06,"+","GO:0001558","regulation of cell growth"
"175",24,2.74486803519062,0.000770631383265694,8.74358974358974,528,8.8473720443152e-06,"+","GO:0071396","cellular response to lipid"
"176",15,3.87096774193548,0.00078133748080302,3.875,234,9.0215440937697e-06,"+","GO:2001234","negative regulation of apoptotic signaling pathway"
"177",81,1.61911778838453,0.000780624779378539,50.0272435897436,3021,9.06452705832194e-06,"+","GO:0009966","regulation of signal transduction"
"178",51,1.90460231013226,0.000788755208142949,26.7772435897436,1617,9.21068208682313e-06,"+","GO:0051049","regulation of transport"
"179",9,6.54799844539448,0.000803602930564469,1.37446581196581,83,9.43678570957422e-06,"+","GO:0070098","chemokine-mediated signaling pathway"
"180",11,5.18951612903226,0.000802886015872856,2.11965811965812,128,9.48103935295638e-06,"+","GO:0007043","cell-cell junction assembly"
"181",89,1.56234058514629,0.000817430063237856,56.965811965812,3440,9.70641221846434e-06,"+","GO:0010646","regulation of cell communication"
"182",14,4.08415147265077,0.000819309261526925,3.42788461538462,207,9.78247625781673e-06,"+","GO:0071219","cellular response to molecule of bacterial origin"
"183",34,2.29660099588656,0.000838106551942748,14.8044871794872,894,1.00618971990765e-05,"+","GO:0043066","negative regulation of apoptotic process"
"184",46,1.96867927116435,0.000904135320081253,23.3659188034188,1411,1.09139210716362e-05,"+","GO:0009719","response to endogenous stimulus"
"185",5,15.8913412563667,0.000957269174102211,0.314636752136752,19,1.16181064888086e-05,"+","GO:0048143","astrocyte activation"
"186",17,3.42193548387097,0.000964742947893074,4.96794871794872,300,1.17721044615963e-05,"+","GO:0052547","regulation of peptidase activity"
"187",11,5.07067224821473,0.000964177097348636,2.16933760683761,131,1.18284535330443e-05,"+","GO:0061041","regulation of wound healing"
"188",12,4.61557427573454,0.00101079726328711,2.59989316239316,157,1.24666985172195e-05,"+","GO:0045807","positive regulation of endocytosis"
"189",8,7.31964809384164,0.00104616218094608,1.09294871794872,66,1.29715050973436e-05,"+","GO:0048708","astrocyte differentiation"
"190",8,7.31964809384164,0.00104065606420426,1.09294871794872,66,1.29715050973436e-05,"+","GO:0014910","regulation of smooth muscle cell migration"
"191",7,8.80645161290323,0.0010529022233337,0.794871794871795,48,1.31932247363864e-05,"+","GO:0034331","cell junction maintenance"
"192",46,1.9425219941349,0.00108234502141483,23.6805555555556,1430,1.36331590967425e-05,"+","GO:0042592","homeostatic process"
"193",12,4.55751673767498,0.00111904406416368,2.63301282051282,159,1.41688318824109e-05,"+","GO:0006909","phagocytosis"
"194",4,24.1548387096774,0.00112685156586664,0.165598290598291,10,1.43416127913224e-05,"+","GO:0098883","synapse pruning"
"195",4,24.1548387096774,0.00112107283988784,0.165598290598291,10,1.43416127913224e-05,"+","GO:0002934","desmosome organization"
"196",6,10.9794721407625,0.00116540748943616,0.546474358974359,33,1.49852304618177e-05,"+","GO:0061028","establishment of endothelial barrier"
"197",5,15.0967741935484,0.00118239124005126,0.331196581196581,20,1.52811831194712e-05,"+","GO:0043116","negative regulation of vascular permeability"
"198",15,3.68214004720692,0.00125857004777931,4.07371794871795,246,1.63482824549172e-05,"+","GO:0050769","positive regulation of neurogenesis"
"199",17,3.33305404273146,0.00126715246716037,5.10042735042735,308,1.65428945066531e-05,"+","GO:0042742","defense response to bacterium"
"200",7,8.4541935483871,0.00132593672879548,0.827991452991453,50,1.7397319803129e-05,"+","GO:0043114","regulation of vascular permeability"
"201",10,5.34399086497288,0.00141497536711102,1.87126068376068,113,1.86584037780827e-05,"+","GO:0061387","regulation of extent of cell growth"
"202",115,1.43244969658256,0.00146467119676146,80.2820512820513,4848,1.94098000226868e-05,"+","GO:0048523","negative regulation of cellular process"
"203",13,4.08870967741935,0.00150589199558553,3.17948717948718,192,2.005484977392e-05,"+","GO:0002064","epithelial cell development"
"204",12,4.36533229692965,0.00163116325306589,2.74893162393162,166,2.18301714639797e-05,"+","GO:0001906","cell killing"
"205",9,5.90743338008415,0.00162789377204428,1.52350427350427,92,2.18932115245738e-05,"+","GO:1990869","cellular response to chemokine"
"206",9,5.90743338008415,0.00161999137509261,1.52350427350427,92,2.18932115245738e-05,"+","GO:1990868","response to chemokine"
"207",19,3.01143002286005,0.00162151042686035,6.30929487179487,381,2.20201179794064e-05,"+","GO:2001233","regulation of apoptotic signaling pathway"
"208",4,21.9589442815249,0.00163002011720966,0.18215811965812,11,2.22426152581257e-05,"+","GO:0090557","establishment of endothelial intestinal barrier"
"209",39,2.04613099408649,0.00163815143763108,19.0603632478632,1151,2.24610411641341e-05,"+","GO:0051174","regulation of phosphorus metabolic process"
"210",19,2.98790322580645,0.00178023762752632,6.35897435897436,384,2.4526005496328e-05,"+","GO:0019221","cytokine-mediated signaling pathway"
"211",16,3.36652804316062,0.00187308819610326,4.75267094017094,287,2.59280725170758e-05,"+","GO:0034329","cell junction assembly"
"212",87,1.52990023860071,0.0019545098256913,56.866452991453,3434,2.71833683032576e-05,"+","GO:0023051","regulation of signaling"
"213",8,6.61776403004861,0.00196493580669453,1.20886752136752,73,2.74572805107875e-05,"+","GO:0043542","endothelial cell migration"
